,title,studio,gross,total theaters,opening gross,opening theaters,release
273,About Elly,CGld,470760.0,16.0,13180.0,1.0,2015-04-08
274,Let's Get Married,CL,462918.0,39.0,180929.0,39.0,2015-04-03
275,Bombay Velvet,FIP,450692.0,218.0,390774.0,218.0,2015-05-15
276,Attack on Titan: Part 1,FUN,449523.0,290.0,,,2015-09-30
277,The Third Man (2015 re-release),Rialto,449191.0,13.0,24832.0,3.0,2015-06-26
278,Felix and Meira,Osci.,447353.0,44.0,15000.0,1.0,2015-04-17
279,Rosenwald,CIE,433924.0,21.0,7902.0,1.0,2015-08-14
280,Saint Laurent,SPC,429477.0,59.0,36000.0,4.0,2015-05-08
281,Listen to Me Marlon,SHO,425831.0,38.0,30068.0,2.0,2015-07-29
282,Heart of a Dog,Abr.,420813.0,22.0,13893.0,1.0,2015-10-21
283,The Witness (Wo shi zheng ren),CL,418063.0,40.0,194736.0,40.0,2015-10-30
284,Unbranded,Grav.,410185.0,80.0,141416.0,80.0,2015-09-25
285,Badlapur,Eros,409166.0,82.0,227759.0,82.0,2015-02-20
286,The Hunting Ground,RTWC,405917.0,25.0,22464.0,2.0,2015-02-27
287,Janis: Little Girl Blue,FR,403821.0,26.0,21861.0,2.0,2015-11-27
288,The Apu Trilogy,Jan.,402723.0,10.0,16064.0,1.0,2015-05-08
289,Freetown,Purd.,401328.0,124.0,118553.0,124.0,2015-04-08
290,Coming Home (2015),SPC,377607.0,55.0,26361.0,3.0,2015-09-09
291,The Second Mother,Osci.,376986.0,223.0,24086.0,3.0,2015-08-28
292,Kahlil Gibran's The Prophet (Gathr),Gathr,370146.0,1.0,,,2015-10-01
293,Katti Batti,UTV,364932.0,127.0,239816.0,127.0,2015-09-18
294,Kahlil Gibran's The Prophet,GK,355343.0,37.0,27435.0,2.0,2015-08-07
295,Effie Gray,AF,352534.0,201.0,161728.0,201.0,2015-04-03
296,Maps to the Stars,Focus,350741.0,66.0,143422.0,66.0,2015-02-27
297,Noble,Asp.,347321.0,175.0,231319.0,175.0,2015-05-08
298,Talvar,Rel.,342370.0,51.0,144713.0,51.0,2015-10-02
299,Northern Limit Line,WGUSA,337907.0,13.0,108255.0,13.0,2015-07-17
300,Ballet 422,Magn.,333554.0,27.0,27653.0,2.0,2015-02-06
301,Shamitabh,Eros,324597.0,137.0,241720.0,137.0,2015-02-06
302,Jafar Panahi's Taxi,KL,321511.0,20.0,22531.0,3.0,2015-10-02
303,Good Kill,IFC,316472.0,143.0,17750.0,2.0,2015-05-15
304,David and Goliath,REI,316100.0,34.0,154901.0,31.0,2015-04-03
305,Running Man (2015),CL,310978.0,21.0,186926.0,20.0,2015-01-30
