title,studio,gross,total theaters,opening gross,opening theaters,release,wiki views
"Data as of:  Today  Today in 2014  Jan. 31, 2014  Feb. 28, 2014  Mar. 31, 2014  Apr. 30, 2014  May 31, 2014  Jun. 30, 2014  Jul. 31, 2014  Aug. 31, 2014  Sep. 30, 2014  Oct. 31, 2014  Nov. 30, 2014  Dec. 31, 2014  Specify Date  About this feature  or (  Month  Jan.  Feb.  Mar.  Apr.  May  Jun.  Jul.  Aug.  Sep.  Oct.  Nov.  Dec.  / Day  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  / 2014  2015  )","Data as of:  Today  Today in 2014  Jan. 31, 2014  Feb. 28, 2014  Mar. 31, 2014  Apr. 30, 2014  May 31, 2014  Jun. 30, 2014  Jul. 31, 2014  Aug. 31, 2014  Sep. 30, 2014  Oct. 31, 2014  Nov. 30, 2014  Dec. 31, 2014  Specify Date  About this feature  or (  Month  Jan.  Feb.  Mar.  Apr.  May  Jun.  Jul.  Aug.  Sep.  Oct.  Nov.  Dec.  / Day  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  / 2014  2015  )",,,,,,
,,,,,,,
Top Five,Par.,25317379.0,1426.0,6896593.0,979.0,2014-12-12,198011.0
The November Man,Rela.,25018119.0,2776.0,7911597.0,2776.0,2014-08-27,129016.0
Endless Love (2014),Uni.,23438250.0,2896.0,13307125.0,2896.0,2014-02-14,
Pompeii,TriS,23219748.0,2658.0,10340823.0,2658.0,2014-02-21,0.0
Transcendence,WB,23022309.0,3455.0,10886386.0,3455.0,2014-04-18,704612.0
As Above/So Below,Uni.,21321100.0,2650.0,8632820.0,2640.0,2014-08-29,
Brick Mansions,Rela.,20396829.0,2647.0,9516855.0,2647.0,2014-04-25,266666.0
"I, Frankenstein",LGF,19075290.0,2753.0,8610441.0,2753.0,2014-01-24,326206.0
The Legend of Hercules,LG/S,18848538.0,2104.0,8868318.0,2104.0,2014-01-10,237331.0
Bears,BV,17780194.0,1790.0,4776267.0,1720.0,2014-04-18,50238.0
Addicted,LGF,17390770.0,1037.0,7485346.0,846.0,2014-10-10,146113.0
A Haunted House 2,ORF,17329486.0,2310.0,8843875.0,2310.0,2014-04-18,159112.0
A Most Wanted Man,RAtt.,17237855.0,801.0,2687227.0,361.0,2014-07-25,79009.0
Begin Again,Wein.,16170632.0,1302.0,134064.0,5.0,2014-06-27,
Tyler Perry's The Single Moms Club,LGF,15973881.0,1896.0,8075111.0,1896.0,2014-03-14,
Devil's Due,Fox,15821461.0,2544.0,8308220.0,2544.0,2014-01-17,271150.0
And So It Goes,CE,15160801.0,1816.0,4642329.0,1762.0,2014-07-25,37371.0
Step Up All In,LG/S,14904384.0,2072.0,6469857.0,2072.0,2014-08-08,
Beyond the Lights,Rela.,14618727.0,1789.0,6200284.0,1789.0,2014-11-14,153708.0
Big Eyes,Wein.,14482031.0,1408.0,3001738.0,1307.0,2014-12-25,342361.0
America (2014),LGF,14444502.0,1105.0,38608.0,3.0,2014-06-27,
Left Behind (2014),Free,14019924.0,1887.0,6300147.0,1825.0,2014-10-03,
Frank Miller's Sin City: A Dame to Kill For,W/Dim.,13757804.0,2894.0,6317683.0,2894.0,2014-08-22,
Labor Day,Par.,13371528.0,2584.0,5175282.0,2584.0,2014-01-31,
Whiplash,SPC,13092000.0,567.0,135388.0,6.0,2014-10-10,103591.0
Winter's Tale,WB,12600231.0,2965.0,7297694.0,2965.0,2014-02-14,0.0
Foxcatcher,SPC,12096300.0,759.0,270877.0,6.0,2014-11-14,459893.0
Belle,FoxS,10726630.0,525.0,106578.0,4.0,2014-05-02,
The Drop,FoxS,10724389.0,1192.0,4104552.0,809.0,2014-09-12,144572.0
P.K.,UTV,10616104.0,272.0,3565258.0,272.0,2014-12-19,
Island of Lemurs: Madagascar (IMAX),WB,10600267.0,302.0,188307.0,37.0,2014-04-04,
Magic in the Moonlight,SPC,10539326.0,964.0,412095.0,17.0,2014-07-25,74406.0
Sabotage (2014),ORF,10508518.0,2486.0,5272444.0,2486.0,2014-03-28,
Moms' Night Out,TriS,10429707.0,1046.0,4311083.0,1044.0,2014-05-09,66482.0
The Quiet Ones,LGF,8509867.0,2027.0,3880053.0,2027.0,2014-04-25,223337.0
Legends of Oz: Dorothy's Return,CE,8462027.0,2658.0,3747780.0,2658.0,2014-05-09,
Inherent Vice,WB,8110975.0,653.0,328184.0,5.0,2014-12-12,213580.0
Vampire Academy,Wein.,7791979.0,2676.0,3921742.0,2676.0,2014-02-07,0.0
Bad Words,Focus,7779614.0,1074.0,113301.0,6.0,2014-03-14,
Cantinflas,LGF,6382924.0,429.0,2661253.0,382.0,2014-08-29,
The Interview (2014),Sony,6105175.0,581.0,1794666.0,331.0,2014-12-25,
Meet the Mormons,Purd.,6047363.0,333.0,2509808.0,317.0,2014-10-10,
A Most Violent Year,A24,5749134.0,818.0,172788.0,4.0,2014-12-31,69423.0
Cesar Chavez,LGF,5571497.0,664.0,2861528.0,664.0,2014-03-28,0.0
The Skeleton Twins,RAtt.,5284309.0,461.0,380691.0,15.0,2014-09-12,
The Wind Rises,BV,5209580.0,496.0,313751.0,21.0,2014-02-21,
Snowpiercer,RTWC,4563650.0,356.0,171187.0,8.0,2014-06-27,
The Railway Man,Wein.,4438438.0,600.0,61845.0,4.0,2014-04-11,
Dear White People,RAtt.,4404154.0,393.0,347959.0,11.0,2014-10-17,116604.0
The Lunchbox,SPC,4235151.0,165.0,44542.0,3.0,2014-02-28,
My Old Lady,Cohen,4013786.0,273.0,124680.0,11.0,2014-09-10,
Mr. Turner,SPC,3958500.0,120.0,109000.0,5.0,2014-12-19,
Ida,MBox,3827060.0,137.0,55438.0,3.0,2014-05-02,17612.0
Fading Gigolo,MNE,3769873.0,356.0,180801.0,5.0,2014-04-18,
Calvary,FoxS,3600006.0,322.0,74149.0,4.0,2014-08-01,144419.0
Wish I Was Here,Focus,3591299.0,753.0,484401.0,68.0,2014-07-18,182581.0
Ghostbusters (30th Anniversary re-release),Sony,3580343.0,784.0,1756513.0,784.0,2014-08-29,
Mommy,RAtt.,3494070.0,83.0,473882.0,62.0,2014-09-19,
What If (2014),CBS,3493000.0,787.0,133898.0,20.0,2014-08-08,
The Grand Seduction,EOne,3430018.0,124.0,323743.0,94.0,2014-05-30,
Veronica Mars,WB,3322127.0,347.0,1988351.0,291.0,2014-03-14,0.0
Before I Go To Sleep,CE,3242457.0,1902.0,1843347.0,1902.0,2014-10-31,
Rosewater,ORF,3128941.0,371.0,1154303.0,371.0,2014-11-14,164115.0
Obvious Child,A24,3123963.0,202.0,77315.0,3.0,2014-06-06,50385.0
The Trip to Italy,IFC,2880537.0,199.0,71712.0,3.0,2014-08-15,3922.0
The Identical,Free,2827666.0,1956.0,1587137.0,1956.0,2014-09-05,38448.0
The Fluffy Movie,ORF,2827393.0,432.0,1311446.0,432.0,2014-07-25,20713.0
Citizenfour,RTWC,2800870.0,105.0,126321.0,5.0,2014-10-24,
Kirk Cameron's Saving Christmas,Gold.,2783970.0,410.0,992087.0,410.0,2014-11-14,
The Pyramid,Fox,2756333.0,685.0,1369935.0,589.0,2014-12-05,126510.0
The Good Lie,WB,2722209.0,461.0,841422.0,461.0,2014-10-03,52169.0
The Raid 2,SPC,2627209.0,954.0,165292.0,7.0,2014-03-28,0.0
Under the Skin (2014),A24,2614251.0,176.0,133154.0,4.0,2014-04-04,
The Admiral: Roaring Currents,CJ,2589811.0,45.0,51431.0,1.0,2014-08-08,
Dragon Ball Z: Battle of Gods,SV,2553002.0,692.0,296414.0,62.0,2014-08-05,
Bang Bang,FIP,2546172.0,271.0,1278690.0,271.0,2014-10-02,
Kick,UTV,2472695.0,180.0,1071373.0,180.0,2014-07-25,1218283.0
Kill the Messenger,Focus,2450846.0,427.0,941809.0,374.0,2014-10-10,102943.0
The Homesman,Saban,2429989.0,222.0,45433.0,4.0,2014-11-14,
Ode to My Father,CJ,2300121.0,38.0,33880.0,1.0,2014-12-25,
Love is Strange,SPC,2262223.0,138.0,117276.0,5.0,2014-08-22,
2 States,UTV,2238174.0,137.0,1073898.0,135.0,2014-04-18,753767.0
Le Week-End,MBox,2225098.0,157.0,43608.0,3.0,2014-03-14,
Anchorman 2 (R-Rated Extended Cut),Par.,2184339.0,1317.0,1358833.0,1317.0,2014-02-28,
2014 Oscar Nominated Short Films,Shrts.,2171849.0,167.0,329505.0,105.0,2014-01-31,
Words and Pictures,RAtt.,2171257.0,216.0,87879.0,10.0,2014-05-23,
Gloria (2014),RAtt.,2107925.0,110.0,56454.0,3.0,2014-01-24,
The Immigrant,Wein.,2025328.0,150.0,44064.0,3.0,2014-05-16,
Only Lovers Left Alive,SPC,1879534.0,95.0,87989.0,4.0,2014-04-11,
Tusk,A24,1826705.0,602.0,846831.0,602.0,2014-09-19,500222.0
Tim's Vermeer,SPC,1671377.0,129.0,49777.0,4.0,2014-01-31,
Persecuted,MNE,1558836.0,736.0,851391.0,736.0,2014-07-18,44475.0
Awake: The Life of Yogananda,CF&SR,1539680.0,21.0,18885.0,1.0,2014-10-10,
Fed Up,RTWC,1538899.0,104.0,126028.0,18.0,2014-05-09,
Finding Vivian Maier,IFC,1514782.0,97.0,63600.0,3.0,2014-03-28,
Pride (2014),CBS,1446634.0,124.0,100040.0,10.0,2014-09-26,
"Two Days, One Night",IFC,1436243.0,120.0,30700.0,2.0,2014-12-24,
Locke,A24,1375769.0,121.0,81006.0,4.0,2014-04-25,
Gimme Shelter,RAtt.,1359910.0,385.0,689070.0,385.0,2014-01-24,
Force Majeure,Magn.,1359497.0,68.0,23309.0,2.0,2014-10-24,10269.0
,,,,,,,
"$10,435,358,613",-,,,,,,
"$14,865,183",-,,,,,,
,,,,,,,
"Data as of:  Today  Today in 2014  Jan. 31, 2014  Feb. 28, 2014  Mar. 31, 2014  Apr. 30, 2014  May 31, 2014  Jun. 30, 2014  Jul. 31, 2014  Aug. 31, 2014  Sep. 30, 2014  Oct. 31, 2014  Nov. 30, 2014  Dec. 31, 2014  Specify Date  About this feature  or (  Month  Jan.  Feb.  Mar.  Apr.  May  Jun.  Jul.  Aug.  Sep.  Oct.  Nov.  Dec.  / Day  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  / 2014  2015  )","Data as of:  Today  Today in 2014  Jan. 31, 2014  Feb. 28, 2014  Mar. 31, 2014  Apr. 30, 2014  May 31, 2014  Jun. 30, 2014  Jul. 31, 2014  Aug. 31, 2014  Sep. 30, 2014  Oct. 31, 2014  Nov. 30, 2014  Dec. 31, 2014  Specify Date  About this feature  or (  Month  Jan.  Feb.  Mar.  Apr.  May  Jun.  Jul.  Aug.  Sep.  Oct.  Nov.  Dec.  / Day  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  / 2014  2015  )",,,,,,
,,,,,,,
Jai Ho,Eros,1264515.0,195.0,840506.0,195.0,2014-01-24,910449.0
Singham Returns,Eros,1232018.0,127.0,654045.0,127.0,2014-08-15,650786.0
Repentance,LGF,1189612.0,157.0,501290.0,152.0,2014-02-28,0.0
The Remaining,Triu,1169603.0,85.0,159143.0,67.0,2014-09-05,
Hector And The Search For Happiness,Rela.,1124445.0,183.0,40847.0,4.0,2014-09-19,
The Rover,A24,1114423.0,608.0,69302.0,5.0,2014-06-13,123274.0
Walking with the Enemy,LS,1112592.0,258.0,331855.0,258.0,2014-04-25,
Leviathan (2014),SPC,1092800.0,80.0,15200.0,2.0,2014-12-25,
The Captive,A24,1075178.0,133.0,407804.0,132.0,2014-09-05,
Laggies,A24,1066981.0,306.0,74139.0,5.0,2014-10-24,44828.0
50 to 1,10F,1064454.0,133.0,78480.0,19.0,2014-03-21,
Haider,UTV,1048143.0,119.0,508084.0,119.0,2014-10-02,
Third Person,SPC,1021398.0,227.0,38856.0,5.0,2014-06-20,
Stalingrad (2014),Sony,1013945.0,308.0,510846.0,308.0,2014-02-28,
The Song,Gold.,1009620.0,340.0,568596.0,340.0,2014-09-26,
Enemy,A24,1008726.0,120.0,16161.0,1.0,2014-03-14,
The Babadook,IFC,964413.0,80.0,30007.0,3.0,2014-11-28,
Shaadi Ke Side Effects,Eros,921277.0,108.0,582672.0,108.0,2014-02-28,
Mas Negro Que La Noche,LGF,870063.0,178.0,539867.0,178.0,2014-09-26,
Particle Fever,Abr.,869838.0,27.0,53901.0,4.0,2014-03-05,
Song of the Sea,GK,857522.0,48.0,21910.0,2.0,2014-12-19,
Atlas Shrugged Part III: Who Is John Galt?,ADC,846704.0,242.0,461179.0,242.0,2014-09-12,
Kochadaiiyaan,Eros,817192.0,161.0,583172.0,161.0,2014-05-23,
Saw 10th Anniversary,LGF,815324.0,2063.0,650051.0,2063.0,2014-10-31,
Life Itself,Magn.,810454.0,100.0,131411.0,23.0,2014-07-04,
Nymphomaniac: Volume I,Magn.,785896.0,59.0,158369.0,25.0,2014-03-21,
Breakup Buddies,CL,777896.0,24.0,230204.0,20.0,2014-10-03,
Palo Alto,Trib.,767732.0,57.0,63461.0,4.0,2014-05-09,
Ek Villain,Eros,730530.0,104.0,414116.0,104.0,2014-06-27,1044007.0
Land Ho!,SPC,727594.0,73.0,34319.0,4.0,2014-07-11,
Yves Saint Laurent,Wein.,723593.0,24.0,24207.0,2.0,2014-06-25,36691.0
Khoobsurat,UTV,710508.0,61.0,345085.0,57.0,2014-09-19,
Holiday (2014),Relbig.,706893.0,144.0,394797.0,144.0,2014-06-06,
"Men, Women & Children",Par.,705908.0,608.0,48024.0,17.0,2014-10-01,
The Tale of The Princess Kaguya,GK,703232.0,29.0,54915.0,3.0,2014-10-17,
Frankie & Alice (2014),LGF,695876.0,171.0,350647.0,171.0,2014-04-04,
A Matter of Faith,5&2,672767.0,52.0,138677.0,25.0,2014-10-17,
Jodorowsky's Dune,SPC,647280.0,61.0,36018.0,3.0,2014-03-21,
Hasee Toh Phasee,Relbig.,646035.0,88.0,336985.0,88.0,2014-02-07,
Frank,Magn.,645186.0,75.0,16056.0,1.0,2014-08-15,87563.0
Mary Kom,Eros,621300.0,139.0,370277.0,139.0,2014-09-05,448328.0
Finding Fanny,FIP,615691.0,121.0,515393.0,121.0,2014-09-12,441010.0
The Signal (2014),Focus,600896.0,204.0,155642.0,120.0,2014-06-13,
The Disappearance of Eleanor Rigby,Wein.,587774.0,139.0,66941.0,4.0,2014-09-12,
Back in Time (Congcong Nanian),CL,569280.0,20.0,206591.0,20.0,2014-12-12,
Forrest Gump (IMAX),Par.,557683.0,337.0,398560.0,337.0,2014-09-05,
The Attorney,WGUSA,557236.0,27.0,216035.0,27.0,2014-02-07,
23 Blast,OAE,549185.0,617.0,337091.0,617.0,2014-10-24,
On Any Sunday: The Next Chapter,Hann.,543044.0,231.0,320894.0,231.0,2014-11-07,
Highway (2014),UTV,529136.0,97.0,326654.0,97.0,2014-02-21,
Dom Hemingway,FoxS,523511.0,129.0,29276.0,4.0,2014-04-02,
